Fundamentals of Information Technology Lab ,Green Lab,3,Miss Sofanit,1,1,R,SE
Fundamentals of Information Technology ,NB107,3,Mr. Nebiat,1,1,R,SE
Basic Writing Skills,NB002B,1,Someone 2,2,1,R,IT
Applied Mathematics II,NB008,1,Someone 3,2,1,R,IT
Fundamentals of Computer Science Lab ,Orange Lab,1,Mr. Amanuel,1,1,R,IT
Fundamentals of Computer Science Tutorial,NB112,1,Mr. Amanuel,1,1,R,IT
Fundamentals of Computer Science ,Samsung Hall,1,Mr. Abreham G.,1,1,R,IT
Computer Hardware Troubleshooting Lab ,NB111,1,Mr. Belete,1,1,R,IT
Fundamentals of Information Technology Tutorial,Green Lab,1,Miss Sofanit,1,1,R,IT
Computer Hardware Troubleshooting,NB108,1,Mr. Belete,1,1,R,IT
Fundamentals of Information Technology ,NB107,1,Mr. Nebiat,1,1,R,IT
Fundamentals of Information Technology Lab,Orange Lab,1,Miss Sofanit,1,1,R,IT
